file	size_bytes	bash_n	sha256	note
fastq2tracks.2.1.sh	11022	OK	f611dbc75f22d8ed9654b0ef97d3e1684106f47c6dfb15ccbc261fcbbba8f754	
fastq2tracks.2.1_blocked.sh	11039	OK	b2be55b5b1ba72c9650b9cdc1dfba55f8197a773b99b8600ea6f9a0ddd6ada52	
fastqc_batch.1.0.sh	11124	OK	c8ccf9ef21de67c429d1c664fb123a31d9a3ffdb5dc5ff473f38529d8590e809	
trimgalore_batch.1.0.sh	10377	OK	2febb02342c5e21a9fd787288abe958d8128e7ca0bf082f39860d1c230235428	
bowtie2_human_batch.2.1.sh	11654	OK	03f9c741f0e3100f4d8ee942985e3d37d6e6c06234c62f6e987c63f64715c05a	
bowtie2_mouse_batch.2.1.sh	11786	OK	aa1dc497c30ce115a6e9bbd6aa3fc0ab5a81a5ccfcf61e123edb4f7d862934a6	
bowtie2_dovetail_pairedEnd_Hsapiens.2.1.sh	1966	OK	86d117f880b4369bb3b4b96cde3abf6e2a0db7bbbe9a0e889f075417551240f4	
bowtie2_dovetail_pairedEnd_MMusculus.2.1.sh	1966	OK	86d117f880b4369bb3b4b96cde3abf6e2a0db7bbbe9a0e889f075417551240f4	
picard_deduplication_batch.2.1.sh	11257	OK	8c25f44999946a4ff9cf163dd8826c057625ec6997e93b4e523a05362ebc01b5	
picard_deduplication.2.1.sh	421	OK	d3325146ba8f00d761f89996d58cddb8f98ce824a23a31844f6b5a6afb249da2	
genomecoverage_batch.1.0.sh	11324	OK	1b0725f812fb46dc3a968edd786a86b9659b3b94167932a77512f6bd6cfac25c	
genomeCoverage_DNA_human.1.0.sh	1431	OK	e5a6d62afcdf1fbcfb8f32d13edd8c6fd8aa5fc134552719951e42f9bc16dde9	
genomeCoverage_DNA_mouse.1.0.sh	1415	OK	61a4a3ef1764adf064c2becc49e14a32e2241f628b9d85fd05186628e33fd097	
create_ucsc_tracks.1.0.sh	4573	OK	ddcfc5809a9f7b4fde9bc51bc8a39b59ac7e3bd7fbe10d7e65e1a276508c6ac3	
generate_pipeline_report.1.0.sh	34645	OK	c3a269dfbd1786fa697a73a8c1d9e3b8eeab8168fac183e137d8e999da515a62	
generate_multiqc_unified_report.1.0.sh	14695	OK	09a38bb7a0a82e678669ee75fc55fa20307ac52c5c257de597f9066fad04c943	
readme.2.1.sh	1838	FAIL	4dbf200402fd21d91e9013348fcdddf8bf27c5b8e0a5442f61929414e6dc4534	/mnt/data/fastq2tracks-github-ready-v2/scripts/readme.2.1.sh: line 3: syntax error near unexpected token `)' | /mnt/data/fastq2tracks-github-ready-v2/scripts/readme.2.1.sh: line 3: `1.a) changing major problem => picard_deduplication.1.0 | '
